,Current,K,Flujo,t_viento,Diametro,col_fluido,col_celda,n_fluido,n_celda,normalizedArea,Rem,dfn_calc,colIndex,cdrag
0,0.0,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,2824.631585141112,1.0228215767634854,0,0.8507709838074543
1,0.0,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,2824.631585141112,1.0228215767634854,1,1.7854889718469453
2,0.0,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,2824.631585141112,1.0228059186744922,2,1.861360366105065
3,0.0,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,2352.283137465589,1.0227961153988248,3,1.9153334096887402
4,0.0,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,2000.6010414465177,1.0227930872595414,4,1.8363819208182977
5,0.0,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,1878.7140078118719,1.0227905593093836,5,1.9392724129118026
6,0.0,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,1770.5477562751585,1.0227880669479517,6,1.7497541582396268
7,0.0,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,1657.0082122437277,1.022787819681942,7,1.5210940940914806
8,0.306,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,2824.631585141112,1.0228215767634854,0,0.8507709838074543
9,0.306,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,2824.631585141112,1.0228215767634854,1,1.7854889718469453
10,0.306,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,2824.631585141112,1.0228053466540932,2,1.861361407100894
11,0.306,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,2352.2807871106174,1.022794971358108,3,1.9153355520725692
12,0.306,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,2000.5970435180834,1.0227913711985273,4,1.836385001938759
13,0.306,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,1878.7083762802697,1.022788271228088,5,1.939276751261254
14,0.306,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,1770.5406798769923,1.0227852068463918,6,1.7497590512265058
15,0.306,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,1656.9999339789024,1.0227843875601004,7,1.5210991983737976
16,0.612,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,2824.631585141112,1.0228215767634854,0,0.8507709838074543
17,0.612,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,2824.631585141112,1.0228215767634854,1,1.7854889718469453
18,0.612,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,2824.631585141112,1.0228036305928965,2,1.8613645300953652
19,0.612,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,2352.273736058111,1.0227915392359788,3,1.9153419792527724
20,0.612,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,2000.5850497750648,1.022786223015549,4,1.8363942453620627
21,0.612,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,1878.6914817748575,1.0227814069843297,5,1.9392897664258275
22,0.612,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,1770.519450832313,1.0227766265419265,6,1.7497737303509704
23,0.612,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,1656.9750994035437,1.022774091194896,7,1.5211145114258133
24,0.9179999999999999,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,2824.631585141112,1.0228215767634854,0,0.8507709838074543
25,0.9179999999999999,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,2824.631585141112,1.0228215767634854,1,1.7854889718469453
26,0.9179999999999999,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,2824.631585141112,1.022800770490902,2,1.8613697351094391
27,0.9179999999999999,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,2352.2619843452912,1.0227858190325014,3,1.9153526913155
28,0.9179999999999999,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,2000.5650603443137,1.0227776427107986,4,1.8364096512739727
29,0.9179999999999999,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,1878.6633245638172,1.0227699665784933,5,1.9393114587541984
30,0.9179999999999999,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,1770.484069590566,1.0227623260351957,6,1.7497981961045195
31,0.9179999999999999,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,1656.9337091749885,1.0227569305872901,7,1.5211400338627419
32,1.224,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,2824.631585141112,1.0228215767634854,0,0.8507709838074543
33,1.224,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,2824.631585141112,1.0228215767634854,1,1.7854889718469453
34,1.224,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,2824.631585141112,1.0227967663481092,2,1.8613770221780481
35,1.224,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,2352.245532034194,1.0227778107477825,3,1.9153676884043378
36,1.224,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,2000.5370754372436,1.0227656302845969,4,1.8364312199841042
37,1.224,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,1878.6239050941074,1.0227539500112195,5,1.9393418288275122
38,1.224,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,1770.4345369008042,1.0227423053272684,6,1.7498324493063604
39,1.224,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,1656.8757643887511,1.0227329057388848,7,1.5211757667100099
40,1.531,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,2824.631585141112,1.0228215767634854,0,0.8507709838074543
41,1.531,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,2824.631585141112,1.0228215767634854,1,1.7854889718469453
42,1.531,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,2824.631585141112,1.0227915994649328,2,1.8613864253816195
43,1.531,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,2352.2243023792407,1.022767476982805,3,1.915387040759573
44,1.531,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,2000.500964661525,1.0227501296386485,4,1.83645905265733
45,1.531,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,1878.5730399062616,1.0227332824850883,5,1.939381019297414
46,1.531,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,1770.3706225012377,1.0227164709217522,6,1.7498766510791552
47,1.531,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,1656.8009959877772,1.0227019044544676,7,1.521221878291876
48,1.837,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,2824.631585141112,1.0228215767634854,0,0.8507709838074543
49,1.837,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,2824.631585141112,1.0228215767634854,1,1.7854889718469453
50,1.837,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,2824.631585141112,1.022785303501849,2,1.8613978835245732
51,1.837,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,2352.198433796379,1.0227548850587065,3,1.9154106225665035
52,1.837,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,2000.4569636482092,1.022731241754939,4,1.8364929685323976
53,1.837,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,1878.5110611765163,1.0227080986431207,5,1.9394287759008575
54,1.837,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,1770.2927441246104,1.0226849911228912,6,1.7499305149428916
55,1.837,0.6,50.75,13.75,20.5,8,7,4,3,1.9634954084936205,1656.7098930403365,1.0226641286996967,7,1.5212780700590596
