ave_fitness	ave_genome_length	ave_num_layers	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_num_layers	max_used_codons	min_genome_length	min_num_layers	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
6.6386027e+19	30.0	1.7	9.1	6.6386027e+19	0	0	30	4	26	30	1	5	0	0	0.8915426731109619	10	0.8915426731109619	10	0.0	
5.8882845e+19	29.9	2.4	12.6	4.4465693e+19	1	0	40	5	26	20	1	5	0	0	23.24657940864563	20	24.138122081756592	20	0.0	
5.237168e+19	29.2	2.1	10.5	7.387507e+17	2	0	37	5	25	21	1	5	0	0	22.231484413146973	30	46.369606494903564	30	0.0	
5.561574e+19	30.9	2.0	10.0	7.387507e+17	3	0	40	5	25	12	1	5	0	0	25.4379985332489	40	71.80760502815247	40	0.0	
4.654527e+19	30.7	1.7	8.5	7.027191e+17	4	0	45	4	20	19	1	5	0	0	22.321744918823242	50	94.12934994697571	50	0.0	
4.4802003e+19	33.2	1.2	6.0	1.0353176e+17	5	0	47	2	10	25	1	5	0	0	18.00458312034607	60	112.13393306732178	60	0.0	
4.7958753e+19	34.9	1.6	8.0	1.0353176e+17	6	0	50	3	15	23	1	5	0	0	25.06519865989685	70	137.19913172721863	70	0.0	
3.0330347e+19	31.7	2.1	10.5	1.0353176e+17	7	0	52	5	25	22	1	5	0	0	28.85225749015808	80	166.0513892173767	80	0.0	
4.8119933e+19	29.5	2.1	10.5	1.0353176e+17	8	0	42	5	25	23	1	5	0	0	33.51420521736145	90	199.56559443473816	90	0.0	
1.7022883e+19	31.6	2.5	12.5	1.0353176e+17	9	0	36	4	20	26	1	5	0	0	32.352478981018066	100	231.91807341575623	100	0.0	
3.543878e+19	32.1	2.8	14.0	1.0353176e+17	10	0	36	4	20	24	1	5	0	0	41.75698781013489	110	273.6750612258911	110	0.0	
1.6849525e+19	32.8	2.2	11.0	4.5868735e+16	11	0	41	4	20	19	1	5	0	0	31.601078510284424	120	305.27613973617554	120	0.0	
2.924433e+19	31.8	2.5	12.5	4.5868735e+16	12	0	40	4	20	19	2	10	0	0	38.896732568740845	130	344.1728723049164	130	0.0	
3.1128973e+19	33.4	2.4	12.0	4.5868735e+16	13	0	50	4	20	19	1	5	0	0	37.24855899810791	140	381.4214313030243	140	0.0	
4.0897474e+19	33.5	3.6	18.0	4.5868735e+16	14	1	52	7	35	17	1	5	0	0	59.06154751777649	150	440.4829788208008	149	0.6666666666666714	
