ave_fitness	ave_genome_length	ave_num_layers	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_num_layers	max_used_codons	min_genome_length	min_num_layers	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
6.638602718883611e+19	30.0	2.6	13.3	6.6386027e+19	0	0	30	6	30	30	1	5	2	0	8.698206663131714	20	8.698206663131714	18	10.0	
5.574954e+19	30.0	2.4	12.3	1.3416516e+17	1	0	38	6	30	22	1	5	2	0	47.50165629386902	40	56.19986295700073	38	5.0	
5.6675435e+19	27.05	2.4	12.0	7.033529e+16	2	0	41	4	20	15	1	5	2	0	52.72625970840454	60	108.92612266540527	58	3.3333333333333286	
3.5037073e+19	25.5	2.25	11.25	4.0653755e+16	3	0	47	4	20	11	1	5	2	0	51.6231906414032	80	160.54931330680847	78	2.5	
4.4163204e+19	24.85	2.4	12.0	4.0653755e+16	4	0	48	4	20	11	1	5	2	0	54.71195864677429	100	215.26127195358276	98	2.0	
3.9764687e+19	26.45	2.5	12.5	2.4262807e+16	5	0	46	5	25	11	1	5	2	0	57.458314418792725	120	272.7195863723755	118	1.6666666666666714	
4.6454525e+19	32.2	3.75	18.75	2.4262807e+16	6	0	51	7	35	17	1	5	2	0	78.14729475975037	140	350.86688113212585	138	1.4285714285714164	
4.215276e+19	28.6	3.2	16.0	2.4262807e+16	7	0	44	7	35	2	1	5	2	0	74.65884160995483	160	425.5257227420807	158	1.25	
3.8304905e+19	27.25	3.3	16.5	2.4262807e+16	8	0	45	8	40	4	1	5	2	0	86.50507092475891	180	512.0307936668396	178	1.1111111111111143	
3.473055e+19	27.45	3.25	16.25	2.4262807e+16	9	0	67	7	35	12	1	5	2	0	75.75094485282898	200	587.7817385196686	198	1.0	
4.99401e+19	24.65	3.15	15.75	2.4262807e+16	10	0	44	7	35	13	1	5	2	0	69.49405026435852	220	657.2757887840271	218	0.9090909090909065	
4.598356e+19	24.95	2.6	13.0	2.4262807e+16	11	0	54	7	35	9	1	5	2	0	59.61054062843323	240	716.8863294124603	238	0.8333333333333286	
4.774893e+19	25.2	2.45	12.25	2.4262807e+16	12	0	36	7	35	12	1	5	2	0	58.951048135757446	260	775.8373775482178	258	0.7692307692307736	
4.4103997e+19	25.25	2.05	10.25	2.4262807e+16	13	0	37	4	20	11	1	5	2	0	47.029218435287476	280	822.8665959835052	278	0.7142857142857082	
5.1729546e+19	25.4	1.95	9.75	2.4262807e+16	14	0	35	6	30	18	1	5	2	0	43.15256690979004	300	866.0191628932953	298	0.6666666666666714	
5.3477374e+19	25.9	2.1	10.5	2.4262807e+16	15	0	39	7	35	16	1	5	2	0	44.105626583099365	320	910.1247894763947	318	0.625	
4.719696e+19	24.8	2.1	10.5	2.4262807e+16	16	0	37	4	20	9	1	5	2	0	42.641738176345825	340	952.7665276527405	338	0.5882352941176521	
5.1613583e+19	23.6	2.45	12.25	2.4262807e+16	17	0	40	6	30	6	1	5	2	0	53.41317176818848	360	1006.179699420929	358	0.5555555555555571	
5.059007e+19	19.45	2.5	12.5	2.4262807e+16	18	0	35	6	30	6	1	5	2	0	60.513752698898315	380	1066.6934521198273	378	0.526315789473685	
3.6677058e+19	19.75	2.4	12.0	2.4262807e+16	19	0	32	7	35	9	1	5	2	0	61.70261216163635	400	1128.3960642814636	398	0.5	
4.2326448e+19	19.9	2.25	11.25	2.4262807e+16	20	0	33	4	20	2	1	5	2	0	55.80036377906799	420	1184.1964280605316	418	0.4761904761904816	
4.4312606e+19	21.25	2.3	11.5	2.1795237e+16	21	0	33	5	25	12	1	5	2	0	53.197898149490356	440	1237.394326210022	438	0.45454545454545325	
5.080313e+19	24.85	1.95	9.75	2.1795237e+16	22	0	35	3	15	14	1	5	2	0	45.27782416343689	460	1282.6721503734589	458	0.4347826086956559	
3.8810276e+19	21.5	1.75	8.75	2.1795237e+16	23	0	31	3	15	9	1	5	2	0	47.01844930648804	480	1329.690599679947	478	0.4166666666666714	
3.58344e+19	21.7	1.95	9.75	2.1795237e+16	24	0	31	5	25	6	1	5	2	0	48.57913136482239	500	1378.2697310447693	498	0.4000000000000057	
4.1626903e+19	23.15	1.5	7.5	2.1795237e+16	25	0	32	3	15	9	1	5	2	0	43.099302530288696	520	1421.369033575058	518	0.3846153846153868	
4.8586733e+19	21.1	1.55	7.75	6838484500000000.0	26	0	35	3	15	5	1	5	2	0	38.38097405433655	540	1459.7500076293945	538	0.3703703703703667	
4.681018e+19	18.6	1.4	7.0	6838484500000000.0	27	0	32	5	25	5	1	5	2	0	38.672300577163696	560	1498.4223082065582	558	0.3571428571428612	
4.879908e+19	22.6	1.5	7.5	6838484500000000.0	28	0	33	4	20	1	1	5	2	0	44.26546049118042	580	1542.6877686977386	578	0.3448275862069039	
3.6861347e+19	23.05	1.5	7.5	6838484500000000.0	29	0	37	2	10	1	1	5	2	0	36.5073516368866	600	1579.1951203346252	598	0.3333333333333286	
