ave_fitness	ave_genome_length	ave_num_layers	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_num_layers	max_used_codons	min_genome_length	min_num_layers	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
4.345900867402925e+20	30.0	1.6	8.4	4.3457643e+20	0	0	30	4	23	30	1	5	2	0	0.8622362613677979	20	0.8622362613677979	18	10.0	
3.470255e+20	30.0	1.9	9.5	8.5687154e+17	1	0	36	5	25	24	1	5	2	0	89.79068994522095	40	90.65292620658875	38	5.0	
3.5345692e+20	29.95	1.85	9.25	5.221531e+17	2	0	36	4	20	24	1	5	2	0	88.18506932258606	60	178.8379955291748	58	3.3333333333333286	
3.864783e+20	31.85	2.15	10.75	5.221531e+17	3	0	42	5	25	26	1	5	2	0	103.95217847824097	80	282.79017400741577	78	2.5	
3.173221e+20	32.1	2.45	12.25	4.7892675e+17	4	0	39	4	20	26	1	5	2	0	124.9617931842804	100	407.75196719169617	98	2.0	
2.955298e+20	33.3	2.4	12.0	4.5243828e+17	5	0	45	5	25	20	1	5	2	0	129.83977270126343	120	537.5917398929596	118	1.6666666666666714	
2.7941402e+20	29.8	2.2	11.0	4.3464085e+16	6	0	53	5	25	19	1	5	2	0	129.8667106628418	140	667.4584505558014	138	1.4285714285714164	
3.2319924e+20	29.65	2.15	10.75	4.3464085e+16	7	0	40	4	20	18	1	5	2	0	103.06034684181213	160	770.5187973976135	158	1.25	
2.7712568e+20	31.1	2.45	12.25	4.3464085e+16	8	0	39	7	35	22	1	5	2	0	106.93598818778992	180	877.4547855854034	178	1.1111111111111143	
2.366323e+20	35.3	2.95	14.75	4.3464085e+16	9	0	44	5	25	19	1	5	2	0	128.70109033584595	200	1006.1558759212494	198	1.0	
3.0111004e+20	35.25	2.65	13.25	4.3464085e+16	10	0	46	6	30	26	1	5	2	0	114.4079818725586	220	1120.563857793808	218	0.9090909090909065	
2.868668e+20	37.65	2.6	13.0	4.3464085e+16	11	0	54	6	30	24	1	5	2	0	116.65275812149048	240	1237.2166159152985	238	0.8333333333333286	
3.1575096e+20	40.95	2.95	14.75	4.3464085e+16	12	0	62	6	30	29	1	5	2	0	131.03320050239563	260	1368.249816417694	258	0.7692307692307736	
2.0036173e+20	42.05	2.95	14.75	4.3464085e+16	13	0	62	6	30	28	1	5	2	0	127.23074007034302	280	1495.480556488037	278	0.7142857142857082	
2.355296e+20	42.2	2.65	13.25	4.3464085e+16	14	0	57	5	25	31	1	5	2	0	125.26949048042297	300	1620.75004696846	298	0.6666666666666714	
